Date,Maruhachi Securities Co Ltd
20050729,4.233254745697998
20050730,4.233254745697998
20050731,4.233254745697998
20050801,4.677863701016929
20050802,4.949691827969578
20050803,4.8018283364106935
20050804,4.821915983794905
20050805,5.05585369546755
20050806,5.05585369546755
20050807,5.05585369546755
20050808,5.375473085450321
20050809,5.0317365693213585
20050810,4.740654762218629
20050811,4.037475243051133
20050812,3.7352319494121677
20050813,3.7352319494121677
20050814,3.7352319494121677
20050815,3.4899316642810208
20050816,3.2654867396987894
20050817,3.2779544543851733
20050818,3.2915910306157206
20050819,3.3026401163664034
20050820,3.3026401163664034
20050821,3.3026401163664034
20050822,2.655986516677539
20050823,3.2661519565296735
20050824,3.2787663949103485
20050825,3.2675448272782375
20050826,3.048157846138021
20050827,3.048157846138021
20050828,3.048157846138021
20050829,3.167153071974113
20050830,2.776160426708267
20050831,3.9775642025236637
20050901,3.7709574476191947
20050902,3.61350047802798
20050903,3.61350047802798
20050904,3.61350047802798
20050905,3.5981894233321112
20050906,3.8398262749416237
20050907,4.058741331514584
20050908,4.017416153898917
20050909,3.9855695998433323
20050910,3.9855695998433323
20050911,3.9855695998433323
20050912,3.8278155040267343
20050913,3.6718894709459637
20050914,3.6709300157275693
20050915,4.111373392146218
20050916,4.442951779252947
20050917,4.442951779252947
20050918,4.442951779252947
20050919,4.442951779252947
20050920,4.232438309957331
20050921,4.198846589103567
20050922,4.081433130306743
20050923,4.081433130306743
20050924,4.081433130306743
20050925,4.081433130306743
20050926,3.631737627681093
20050927,3.7355432577943595
20050928,3.8527255090214085
20050929,4.280770694259358
20050930,4.401365623217606
20051001,4.401365623217606
20051002,4.401365623217606
20051003,4.045770903254661
20051004,3.998769118365845
20051005,3.917373256502783
20051006,4.38106886488432
20051007,4.575778534017249
20051008,4.575778534017249
20051009,4.575778534017249
20051010,4.575778534017249
20051011,4.317575906118781
20051012,4.112642742416785
20051013,3.9855267726210353
20051014,4.210923310018418
20051015,4.210923310018418
20051016,4.210923310018418
20051017,4.445665972506758
20051018,4.493433861399878
20051019,4.634054699449529
20051020,4.74514098324489
20051021,4.726163697380227
20051022,4.726163697380227
20051023,4.726163697380227
20051024,4.722716459151437
20051025,4.123224688049012
20051026,4.490745910908404
20051027,4.403890339775511
20051028,4.058397484124582
20051029,4.058397484124582
20051030,4.058397484124582
20051031,4.996615629284091
20051101,4.641662135184495
20051102,4.571375966109702
20051103,4.571375966109702
20051104,4.580114158797677
20051105,4.580114158797677
20051106,4.580114158797677
20051107,4.61252338672287
20051108,4.611523541129915
20051109,4.625670733195426
20051110,4.4804921268373725
20051111,4.522376692236377
20051112,4.522376692236377
20051113,4.522376692236377
20051114,4.43041189672271
20051115,4.597204432803292
20051116,4.687193510650089
20051117,4.565358177975428
20051118,4.064013879458715
20051119,4.064013879458715
20051120,4.064013879458715
20051121,4.151960125151823
20051122,3.930947797247366
20051123,3.930947797247366
20051124,4.010044727941725
20051125,4.230541212694998
20051126,4.230541212694998
20051127,4.230541212694998
20051128,4.0205567895391665
20051129,4.017433833338676
20051130,3.9868420423247435
20051201,3.924812581338978
20051202,3.8379404569542035
20051203,3.8379404569542035
20051204,3.8379404569542035
20051205,3.2978144478131064
20051206,3.4940805809496416
20051207,3.4610244998205753
20051208,4.043854338209657
20051209,3.468250832450415
20051210,3.468250832450415
20051211,3.468250832450415
20051212,3.3317760319270224
20051213,3.3605059883265063
20051214,3.622007706211356
20051215,3.3883100495780942
20051216,3.2645839471995695
20051217,3.2645839471995695
20051218,3.2645839471995695
20051219,3.506499896672499
20051220,3.4800907174711497
20051221,3.4420209950881477
20051222,3.4837025122601886
20051223,3.4837025122601886
20051224,3.4837025122601886
20051225,3.4837025122601886
20051226,3.2525602933801054
20051227,3.3010666981080297
20051228,3.2865664561126886
20051229,3.2069028262795576
20051230,3.538440809302772
20051231,3.538440809302772
20060101,3.538440809302772
20060102,3.538440809302772
20060103,3.538440809302772
20060104,3.3031373315190256
20060105,1.9824026796176795
20060106,2.2852421175821735
20060107,2.2852421175821735
20060108,2.2852421175821735
20060109,2.2852421175821735
20060110,2.3354032656631123
20060111,2.533731392134105
20060112,2.4119857685972264
20060113,2.342349826991982
20060114,2.342349826991982
20060115,2.342349826991982
20060116,2.193213082242301
20060117,2.626246246671051
20060118,2.6490912763231225
20060119,2.681997082974828
20060120,2.7512947819749733
20060121,2.7512947819749733
20060122,2.7512947819749733
20060123,2.8387765825019566
20060124,2.7417281246996423
20060125,2.49951556213714
20060126,2.3116207886191957
20060127,4.964379128439144
20060128,4.964379128439144
20060129,4.964379128439144
20060130,4.794554507629833
20060131,7.486417810180587
20060201,8.014587661345093
20060202,7.948889433707739
20060203,7.658007485418384
20060204,7.658007485418384
20060205,7.658007485418384
20060206,6.860414915774601
20060207,6.035190926889469
20060208,6.937547514185073
20060209,6.73843712812797
20060210,7.09332478385161
20060211,7.09332478385161
20060212,7.09332478385161
20060213,8.557086068294007
20060214,8.693443029919642
20060215,7.808120193834886
20060216,7.785167845445368
20060217,8.26768729375557
20060218,8.26768729375557
20060219,8.26768729375557
20060220,8.621311742796657
20060221,8.577908019803608
20060222,8.619209826284942
20060223,8.49849443867895
20060224,8.394566192694885
20060225,8.394566192694885
20060226,8.394566192694885
20060227,8.299226992713274
20060228,8.550185796338399
20060301,8.83210776320239
20060302,9.143350516848075
20060303,8.890061211504483
20060304,8.890061211504483
20060305,8.890061211504483
20060306,8.960796483469329
20060307,8.84331935060164
20060308,8.387283309178082
20060309,8.258031004469435
20060310,7.946599438986387
20060311,7.946599438986387
20060312,7.946599438986387
20060313,7.472338621717218
20060314,7.971525158532524
20060315,7.994992763706236
20060316,8.37767760629747
20060317,8.094063705596335
20060318,8.094063705596335
20060319,8.094063705596335
20060320,7.917640887978964
20060321,7.917640887978964
20060322,8.188412055088548
20060323,7.995581683191066
20060324,7.87581231673905
20060325,7.87581231673905
20060326,7.87581231673905
20060327,7.408088042088072
20060328,7.9855019417717354
20060329,8.49626984947886
20060330,8.980769331647961
20060331,8.9634305412607
20060401,8.9634305412607
20060402,8.9634305412607
20060403,8.701845975292139
20060404,8.620675176609508
20060405,8.791634678804831
20060406,8.72826934093007
20060407,8.63625792730381
20060408,8.63625792730381
20060409,8.63625792730381
20060410,8.824077133916298
20060411,8.898928722058933
20060412,8.865817828578692
20060413,9.020809325140716
20060414,8.888586114217004
20060415,8.888586114217004
20060416,8.888586114217004
20060417,9.528396625855132
20060418,9.38792081682847
20060419,9.367170872547351
20060420,9.366291818596585
20060421,9.307575584397783
20060422,9.307575584397783
20060423,9.307575584397783
20060424,9.751910119347354
20060425,9.58761177902034
20060426,9.639385910799971
20060427,10.064540818922941
20060428,8.054808125558226
20060429,8.054808125558226
20060430,8.054808125558226
20060501,8.26534487438188
20060502,8.295378472360278
20060503,8.295378472360278
20060504,8.295378472360278
20060505,8.295378472360278
20060506,8.295378472360278
20060507,8.295378472360278
20060508,8.237296874777297
20060509,8.563969590114594
20060510,9.67939647636488
20060511,11.72325722839946
20060512,12.039283132441387
20060513,12.039283132441387
20060514,12.039283132441387
20060515,14.751128531115848
20060516,15.681350166250343
20060517,16.437247075578004
20060518,18.37932340404051
20060519,17.268823707829117
20060520,17.268823707829117
20060521,17.268823707829117
20060522,16.931235719861654
20060523,19.07665653483524
20060524,18.111277785629426
20060525,19.06956544431541
20060526,19.532984916013923
20060527,19.532984916013923
20060528,19.532984916013923
20060529,21.361415309262124
20060530,24.37025177303403
20060531,24.04633909139687
20060601,26.76915109432647
20060602,23.913002643232915
20060603,23.913002643232915
20060604,23.913002643232915
20060605,24.290902873375675
20060606,27.45579724713734
20060607,36.57416339940842
20060608,35.09320754881814
20060609,36.449415789484654
20060610,36.449415789484654
20060611,36.449415789484654
20060612,36.16798154822577
20060613,42.41216285687428
20060614,39.952597479356676
20060615,39.80923991677932
20060616,35.32883146615104
20060617,35.32883146615104
20060618,35.32883146615104
20060619,36.105454744704154
20060620,38.71288481956858
20060621,37.925911241703055
20060622,36.939649558669004
20060623,38.17191827638717
20060624,38.17191827638717
20060625,38.17191827638717
20060626,37.664557912480255
20060627,37.251406909513165
20060628,38.232543707111994
20060629,40.679480705773635
20060630,39.761350210362956
20060701,39.761350210362956
20060702,39.761350210362956
20060703,38.29639376274604
20060704,37.02576693296279
20060705,40.817065080967964
20060706,43.80882073629073
20060707,44.2537944723547
20060708,44.2537944723547
20060709,44.2537944723547
20060710,44.85091703711376
20060711,45.70488084222745
20060712,47.56119408186141
20060713,48.938356819771215
20060714,47.62707954979907
20060715,47.62707954979907
20060716,47.62707954979907
20060717,47.62707954979907
20060718,55.47048738427943
20060719,57.054468056957205
20060720,52.16640742957509
20060721,53.943380976221434
20060722,53.943380976221434
20060723,53.943380976221434
20060724,53.49833279656625
20060725,48.284278256593765
20060726,50.78301738913411
20060727,51.378096199652866
20060728,45.69053912184574
20060729,45.69053912184574
20060730,45.69053912184574
20060731,46.24198556670572
20060801,47.38268949590792
20060802,45.73779760083902
20060803,45.95175332301747
20060804,39.933904358522746
20060805,39.933904358522746
20060806,39.933904358522746
20060807,46.429775221988905
20060808,44.885254128236554
20060809,45.28587746354297
20060810,43.93758599910705
20060811,43.605511162732064
20060812,43.605511162732064
20060813,43.605511162732064
20060814,42.33363886750819
20060815,38.78351769730488
20060816,38.45079572647229
20060817,38.224623041599614
20060818,39.39620687496006
20060819,39.39620687496006
20060820,39.39620687496006
20060821,40.43440604218582
20060822,39.830107314562284
20060823,39.344646317481654
20060824,40.38629008622585
20060825,39.53988145026591
20060826,39.53988145026591
20060827,39.53988145026591
20060828,38.91350354768635
20060829,38.82993204774805
20060830,38.93616313265208
20060831,38.05806691009976
20060901,37.58511760805021
20060902,37.58511760805021
20060903,37.58511760805021
20060904,36.635179733406794
20060905,36.42808713309417
20060906,41.59689564350158
20060907,40.30668291341855
20060908,40.4912219202576
20060909,40.4912219202576
20060910,40.4912219202576
20060911,42.01669424952315
20060912,42.307200891321976
20060913,42.262979837814065
20060914,44.2986175596455
20060915,44.422831897519934
20060916,44.422831897519934
20060917,44.422831897519934
20060918,44.422831897519934
20060919,44.42528353266042
20060920,45.13808072907089
20060921,46.67036028736841
20060922,48.73451023044481
20060923,48.73451023044481
20060924,48.73451023044481
20060925,48.520854206643946
20060926,48.827316631023955
20060927,47.96570898699302
20060928,47.607916968240694
20060929,45.94562245156841
20060930,45.94562245156841
20061001,45.94562245156841
20061002,45.13810509658342
20061003,45.59464511739773
20061004,45.81436559899499
20061005,43.36990389284253
20061006,44.624104366882705
20061007,44.624104366882705
20061008,44.624104366882705
20061009,44.624104366882705
20061010,48.23242099982798
20061011,47.62164525256748
20061012,47.570379641311405
20061013,47.187857282827714
20061014,47.187857282827714
20061015,47.187857282827714
