Date,Guardian Capital Group Ltd
19960531,0.08588040707521961
19960601,0.08594660864941513
19960602,0.08594660864941513
19960603,0.08605797941775195
19960604,0.08635797744563602
19960605,0.09701317580370772
19960606,0.09650462827488832
19960607,0.09609325623692418
19960608,0.09609325623692418
19960609,0.09609325623692418
19960610,0.10959440094371713
19960611,0.1094407777631655
19960612,0.10900642355157193
19960613,0.10857732153497471
19960614,0.10791642387330423
19960615,0.10791642387330423
19960616,0.10791642387330423
19960617,0.10774536855514649
19960618,0.10758837922145831
19960619,0.1092061301580007
19960620,0.10944174928235809
19960621,0.10989724368742246
19960622,0.10989724368742246
19960623,0.10989724368742246
19960624,0.10976049619806993
19960625,0.10999942502143735
19960626,0.11044075453034674
19960627,0.10960418845165577
19960628,0.1139438190296807
19960629,0.1139438190296807
19960630,0.1139438190296807
19960701,0.11403460749713377
19960702,0.11461770074785012
19960703,0.1148899921457723
19960704,0.11518816202021931
19960705,0.0884210071436714
19960706,0.0884210071436714
19960707,0.0884210071436714
19960708,0.0860331652316366
19960709,0.086426635753551
19960710,0.08609352289867749
19960711,0.0850424536092975
19960712,0.08412596588545711
19960713,0.08412596588545711
19960714,0.08412596588545711
19960715,0.083437912853067
19960716,0.08747799961586931
19960717,0.08766542945548708
19960718,0.08943984333199897
19960719,0.09008525046065999
19960720,0.09008525046065999
19960721,0.09008525046065999
19960722,0.08929145142737241
19960723,0.07326056918739973
19960724,0.07250265063346223
19960725,0.08274908194227582
19960726,0.07307441292638583
19960727,0.07307441292638583
19960728,0.07307441292638583
19960729,0.07302720095709293
19960730,0.07272502360001058
19960731,0.07146947330300626
19960801,0.0724916051003395
19960802,0.07218542461674249
19960803,0.07218542461674249
19960804,0.07218542461674249
19960805,0.07218542461674249
19960806,0.07204002947213115
19960807,0.07211080572488537
19960808,0.06743210207926996
19960809,0.0674351994419387
19960810,0.0674351994419387
19960811,0.0674351994419387
19960812,0.06875031273938866
19960813,0.0720503609293136
19960814,0.07031373607964402
19960815,0.06881851328816406
19960816,0.07795401391157697
19960817,0.07795401391157697
19960818,0.07795401391157697
19960819,0.07798758456175034
19960820,0.07801884971567946
19960821,0.07830278500692615
19960822,0.07188635724180092
19960823,0.07230800799175463
19960824,0.07230800799175463
19960825,0.07230800799175463
19960826,0.06824323790125299
19960827,0.07175818369322617
19960828,0.0716810565773805
19960829,0.0680495459529499
19960830,0.06788519294870245
19960831,0.06788519294870245
19960901,0.06794314559952835
19960902,0.06794314559952835
19960903,0.06819342039997581
19960904,0.05250697770849369
19960905,0.054810416580009375
19960906,0.05466693770313618
19960907,0.05466693770313618
19960908,0.05466693770313618
19960909,0.05454717537143621
19960910,0.04718916127921021
19960911,0.04727098979304216
19960912,0.04728109385746855
19960913,0.04834343155772218
19960914,0.04834343155772218
19960915,0.04834343155772218
19960916,0.04942732975115342
19960917,0.056020282641892426
19960918,0.05573033246876073
19960919,0.055959445717984765
19960920,0.055537731718679956
19960921,0.055537731718679956
19960922,0.055537731718679956
19960923,0.05565081865879453
19960924,0.05576036334811683
19960925,0.033033963906844134
19960926,0.029118710565089873
19960927,0.02952632546437011
19960928,0.02952632546437011
19960929,0.02952632546437011
19960930,0.05236417650401541
19961001,0.0546314117800784
19961002,0.05494845397372762
19961003,0.05208171485124454
19961004,0.05273379302301617
19961005,0.05273379302301617
19961006,0.05273379302301617
19961007,0.052916606740366606
19961008,0.05292891519491174
19961009,0.05294936343885686
19961010,0.04203636097858794
19961011,0.03794453854637372
19961012,0.03794453854637372
19961013,0.03794453854637372
19961014,0.03794453854637372
19961015,0.03388397006865348
19961016,0.03379942831940468
19961017,0.03759199110667576
19961018,0.0341374432016691
19961019,0.0341374432016691
19961020,0.0341374432016691
19961021,0.03847399245710394
19961022,0.03852274665482698
19961023,0.040284451499715906
19961024,0.032831841292674795
19961025,0.03282294218764559
19961026,0.03282294218764559
19961027,0.03282294218764559
19961028,0.03590895651398913
19961029,0.032834069060112915
19961030,0.030171789267088963
19961031,0.04024001871412924
19961101,0.047094613703623445
19961102,0.047094613703623445
19961103,0.047094613703623445
19961104,0.04190159629687518
19961105,0.042156188710182625
19961106,0.03857324652369313
19961107,0.03877163632599497
19961108,0.03898238092958355
19961109,0.03898238092958355
19961110,0.03898238092958355
19961111,0.03908041102527183
19961112,0.0393872990355171
19961113,0.03581443452257592
19961114,0.0361325030021774
19961115,0.036583332104171785
19961116,0.036583332104171785
19961117,0.036583332104171785
19961118,0.0326346057353524
19961119,0.029729773869329502
19961120,0.027334488240996557
19961121,0.027065861672497325
19961122,0.02686979865943161
19961123,0.02686979865943161
19961124,0.02686979865943161
19961125,0.02693027043921275
19961126,0.02685004442775155
19961127,0.032632332583135804
19961128,0.03303351517897741
19961129,0.034080634791023676
19961130,0.034080634791023676
19961201,0.034113019769812895
19961202,0.0340686832525826
19961203,0.04068154109821938
19961204,0.03370894047628591
19961205,0.036422322859842746
19961206,0.036361013511910935
19961207,0.036361013511910935
19961208,0.036361013511910935
19961209,0.04447441671945014
19961210,0.03703192789077214
19961211,0.03652053143447626
19961212,0.036253944820689936
19961213,0.03624919429931722
19961214,0.03624919429931722
19961215,0.03624919429931722
19961216,0.036475655900304986
19961217,0.03636865860622993
19961218,0.03726427813598949
19961219,0.03737393209764473
19961220,0.03618652550576618
19961221,0.03618652550576618
19961222,0.03618652550576618
19961223,0.040938739834306875
19961224,0.037277611101159076
19961225,0.037277611101159076
19961226,0.037277611101159076
19961227,0.03742872389548368
19961228,0.03742872389548368
19961229,0.03742872389548368
19961230,0.037887864744475586
