Date,Urstadt Biddle Properties Inc
20041230,0.0011367
20041231,0.0016968
20050101,0.001725
20050102,0.001725
20050103,0.0018336
20050104,0.0018536
20050105,0.0020976
20050106,0.0019687
20050107,0.0021458
20050108,0.0021458
20050109,0.0021458
20050110,0.0021125
20050111,0.0021536
20050112,0.002104
20050113,0.0020688
20050114,0.0020407
20050115,0.0020407
20050116,0.0020407
20050117,0.0020407
20050118,0.0018618
20050119,0.0018459
20050120,0.0018594
20050121,0.0018625
20050122,0.0018625
20050123,0.0018625
20050124,0.002003
20050125,0.0020009
20050126,0.0018716
20050127,0.0020269
20050128,0.0021089
20050129,0.0021089
20050130,0.0021089
20050131,0.002514
20050201,0.0026723
20050202,0.0025489
20050203,0.0025559
20050204,0.0022833
20050205,0.0022833
20050206,0.0022833
20050207,0.002252
20050208,0.002311
20050209,0.0024432
20050210,0.0025286
20050211,0.0023848
20050212,0.0023848
20050213,0.0023848
20050214,0.0024348
20050215,0.0025086
20050216,0.0022977
20050217,0.0024339
20050218,0.0025489
20050219,0.0025489
20050220,0.0025489
20050221,0.0025489
20050222,0.0026702
20050223,0.0027063
20050224,0.0024519
20050225,0.0023202
20050226,0.0023202
20050227,0.0023202
20050228,0.0028602
20050301,0.0028526
20050302,0.0030204
20050303,0.0029476
20050304,0.0027809
20050305,0.0027809
20050306,0.0027809
20050307,0.0026945
20050308,0.0028979
20050309,0.0032685
20050310,0.0033506
20050311,0.0071044
20050312,0.0071044
20050313,0.0071044
20050314,0.0070183
20050315,0.0070465
20050316,0.0067456
20050317,0.00648
20050318,0.0065046
20050319,0.0065046
20050320,0.0065046
20050321,0.0066422
20050322,0.0071866
20050323,0.0074752
20050324,0.0074894
20050325,0.0074894
20050326,0.0074894
20050327,0.0074894
20050328,0.0075641
20050329,0.0079825
20050330,0.0078365
20050331,0.0089376
20050401,0.0099349
20050402,0.0099349
20050403,0.0099349
20050404,0.0098579
20050405,0.010444577692819592
20050406,0.010533670145706782
20050407,0.010653421500102457
20050408,0.010740656890124486
20050409,0.010740656890124486
20050410,0.010740656890124486
20050411,0.010965248664302398
20050412,0.010953894247669047
20050413,0.011363540195209373
20050414,0.011469807907479606
20050415,0.011665647474340951
20050416,0.011665647474340951
20050417,0.011665647474340951
20050418,0.011121590663211306
20050419,0.01107020199171746
20050420,0.011702533626574948
20050421,0.011678677708687867
20050422,0.011528391474552268
20050423,0.011528391474552268
20050424,0.011528391474552268
20050425,0.011409789695868948
20050426,0.010927767629598947
20050427,0.010450285072564153
20050428,0.010510282238399992
20050429,0.0059986
20050430,0.0059986
20050501,0.006107
20050502,0.0058988
20050503,0.0055432
20050504,0.0052164
20050505,0.0050921
20050506,0.0052234
20050507,0.0052234
20050508,0.0052234
20050509,0.0048884
20050510,0.0050213
20050511,0.0050585
20050512,0.0051095
20050513,0.0051852
20050514,0.0051852
20050515,0.0051852
20050516,0.0048977
20050517,0.0047772
20050518,0.0045202
20050519,0.0046289
20050520,0.0044519
20050521,0.0044519
20050522,0.0044519
20050523,0.0044097
20050524,0.0044752
20050525,0.0045661
20050526,0.0044973
20050527,0.0042453
20050528,0.0042453
20050529,0.0042453
20050530,0.0042453
20050531,0.0034797
20050601,0.0034494
20050602,0.0035334
20050603,0.0034461
20050604,0.0034461
20050605,0.0034461
20050606,0.003312
20050607,0.0031842
20050608,0.0015389
20050609,0.0015633
20050610,0.0014943
20050611,0.0014943
20050612,0.0014943
20050613,0.0014111
20050614,0.0013574
20050615,0.0013882
20050616,0.0013848
20050617,0.0012707
20050618,0.0012707
20050619,0.0012707
20050620,0.0012954
20050621,0.0013335
20050622,0.0013696
20050623,0.0014211
20050624,0.0015227
20050625,0.0015227
20050626,0.0015227
20050627,0.0015407
