Date,Finbar Group Ltd
19920630,396.9431336442808
19920708,184.59216138607886
19920729,91.46278274212004
19920731,89.33970365473056
19920801,89.33970365473056
19920802,89.33970365473056
19920803,186.5787472977345
19920805,187.2829755328535
19920831,302.73738101309897
19920902,157.63676679807458
19920908,161.51410193294564
19920923,157.58589603989307
19920924,88.61923271399719
19951101,8.141744195691363
19951106,9.290190189128362
19951109,9.497934723389378
19951110,9.53310036403691
19951111,9.53310036403691
19951112,9.53310036403691
19951113,9.571267248698225
19951115,8.997712795574762
19951120,9.039214176642135
19951122,9.054882443237839
19951124,9.07397404605685
19951125,9.07397404605685
19951126,9.07397404605685
19951127,9.660083356912228
19951128,9.535572014740922
19951212,7.361396142669123
19951213,7.322515952756386
19951214,7.311745885618429
19951215,7.338775332776175
19951216,7.338775332776175
19951217,7.338775332776175
19951227,6.586192981553464
19951229,5.626266980838201
19951230,5.626266980838201
19951231,5.626266980838201
19960101,5.626266980838201
19960102,5.765039975267478
19960109,6.501777412306795
19960110,6.93882539087341
19960115,6.971453030529738
19960116,6.120980876245358
19960117,6.168628866596997
19960216,5.894677595434388
19960217,5.894677595434388
19960218,5.894677595434388
19960219,6.755497859648297
19960222,8.60360769226781
19960223,6.432299483074208
19960224,6.432299483074208
19960225,6.432299483074208
19960226,5.9763908199159586
19960228,6.003441510247719
19960304,6.106983840069556
19960307,6.29292124275448
19960313,8.064914037325694
19960314,6.398088254017936
19960402,9.035756316872654
19960510,10.549497604764513
19960511,10.549497604764513
19960512,10.549497604764513
19960604,12.835675125188878
19960611,16.681248584189753
19960617,16.08453609225965
19960624,15.046064112915875
19960627,15.075248696740239
19960628,12.179655303028804
19960629,12.179655303028804
19960630,12.179655303028804
19960702,4.733451590331634
19960703,4.772102649305814
19960726,6.040665003753723
19960727,6.040665003753723
19960728,6.040665003753723
19960805,9.70873450302176
19960808,9.650588453797397
19960827,10.103742734026353
19960903,9.686343765844926
19960906,9.707705677805572
19960907,9.707705677805572
19960908,9.707705677805572
19960909,8.262633183399226
19960917,9.639059987770741
19960920,9.060325326137542
19960921,9.060325326137542
19960922,9.060325326137542
19960927,8.662256959621901
19960928,8.662256959621901
19960929,8.662256959621901
19960930,8.964477709765834
19961003,8.704775886804974
19961009,9.303187080074707
19961010,9.323662460513907
19961017,7.819116962791846
19961023,7.307859921727662
19961024,6.892451053631799
19961025,6.948668361709006
19961026,6.948668361709006
19961027,6.948668361709006
19961028,6.988568669196191
19961101,7.236363561688156
19961102,7.236363561688156
19961103,7.236363561688156
19961104,6.05642172568238
19961105,5.705421130859392
19961108,6.148658693517109
19961109,6.148658693517109
19961110,6.148658693517109
19961113,5.834149125828643
19961115,5.7251208204304875
19961116,5.7251208204304875
19961117,5.7251208204304875
19961118,5.940339859854165
19961119,5.466303440940541
19961120,5.923275646706437
19961122,5.900509113302747
19961123,5.900509113302747
19961124,5.900509113302747
19961125,6.001731572157421
19961205,6.416359547072277
19961206,6.652416674117853
19961207,6.652416674117853
19961208,6.652416674117853
19961217,7.28938469486068
19961218,9.814686946284152
19970110,11.753134391356705
19970111,11.753134391356705
19970112,11.753134391356705
19970115,12.014281632520573
19970117,11.750730612347624
19970118,11.750730612347624
19970119,11.750730612347624
19970122,9.459049139026902
19970124,11.172600410282618
19970125,11.172600410282618
19970126,11.172600410282618
19970127,11.172600410282618
19970131,9.647409889752028
19970201,9.647409889752028
19970202,9.647409889752028
19970213,12.266435740997563
19970214,10.770091821811016
19970215,10.770091821811016
19970216,10.770091821811016
19970219,12.680925581695446
19970227,13.394203516008615
19970307,14.021753173131954
19970308,14.021753173131954
19970309,14.021753173131954
19970310,14.12170806070854
19970326,15.059305505656043
19970403,14.921874196049258
19970407,15.10094748589375
19970414,15.025624761509908
19970416,15.178093901385935
19970417,15.321253534528525
19970506,14.21252541368932
19970507,14.617228402330078
19970521,12.195263004764161
19970526,12.13357112713877
19970604,12.953812017386097
19970611,13.036100908166551
19970617,13.525617539713267
19970624,6.472208044302565
19970626,6.109709338213486
19970630,5.265966028752695
19970703,5.258163750718014
19970716,5.509136651782338
19970718,5.465963670879102
19970719,5.465963670879102
19970720,5.465963670879102
19970805,4.9824060289432595
19970814,5.130033968781588
19970815,5.003180415842217
19970816,5.003180415842217
19970817,5.003180415842217
19970818,5.127951528451356
19970901,4.919976431786028
19970922,14.972439649970669
19971015,15.401086567576282
19971016,15.373458290972287
19971114,19.414003962698736
19971115,19.414003962698736
19971116,19.414003962698736
19980102,26.470218315827047
19980103,26.470218315827047
19980104,26.470218315827047
19980112,27.324146907333606
19980114,21.589824859136872
19980115,26.674480798940813
19980320,20.95406199360367
19980321,20.95406199360367
19980322,20.95406199360367
19980326,23.55905616437795
19980331,21.74908518344801
19980406,22.32868042690652
19980527,30.915809915923525
19980703,24.42481134239816
19980704,24.42481134239816
19980705,24.42481134239816
19980716,26.22457235754694
19980717,27.020547341132136
19980718,27.020547341132136
19980719,27.020547341132136
19980720,26.389022126657984
19981008,64.07029400709419
19981009,55.200925832912496
19981010,55.200925832912496
19981011,55.200925832912496
19981022,56.41547115856483
19981103,53.431602302189035
19981106,44.78794830634164
19981107,44.78794830634164
19981108,44.78794830634164
19981110,44.368201873574186
19981116,56.581280265004246
19981117,46.27627314134261
19981118,60.489450620287066
19981123,50.16917288597114
19981124,42.86074805364909
19981125,52.994127113553674
19981130,58.008115428485425
19981229,55.97193571529667
19981230,42.25659193344301
19990104,48.8369335752409
19990105,42.860648542689475
19990108,41.777073879954884
19990109,41.777073879954884
19990110,41.777073879954884
