Date,3i Group PLC
19950731,0.049635674975851606
19950801,0.049311280937558225
19950802,0.04416002544872069
19950803,0.04600267293704298
19950804,0.046854663019290775
19950805,0.046854663019290775
19950806,0.046854663019290775
19950807,0.046267779659398864
19950808,0.04712987820118145
19950809,0.04829458417643874
19950810,0.048031521881941985
19950811,0.04839105034793587
19950812,0.04839105034793587
19950813,0.04839105034793587
19950814,0.05056618116540842
19950815,0.048981816000123704
19950816,0.04899946798382872
19950817,0.05027269080970243
19950818,0.0500913859451152
19950819,0.0500913859451152
19950820,0.0500913859451152
19950821,0.04877322236885537
19950822,0.048602100509985625
19950823,0.048459210952009106
19950824,0.04816250430985289
19950825,0.04796476523329923
19950826,0.04796476523329923
19950827,0.04796476523329923
19950828,0.04796476523329923
19950829,0.049244871794308684
19950830,0.04785917860711066
19950831,0.03384277335123389
19950901,0.032549528503940967
19950902,0.032549528503940967
19950903,0.032549528503940967
19950904,0.03263988699843472
19950905,0.032064847924460856
19950906,0.03066855920683211
19950907,0.031672348929659304
19950908,0.03105027332053536
19950909,0.03105027332053536
19950910,0.03105027332053536
19950911,0.03150353443306903
19950912,0.03202930037980375
19950913,0.030248191866383112
19950914,0.030040188451578104
19950915,0.03047635183409788
19950916,0.03047635183409788
19950917,0.03047635183409788
19950918,0.031311095441559605
19950919,0.030948039137344206
19950920,0.03065108314259193
19950921,0.03063885592721571
19950922,0.032716201226525674
19950923,0.032716201226525674
19950924,0.032716201226525674
19950925,0.03210896552955255
19950926,0.030948041771903242
19950927,0.031232355114858
19950928,0.03128346496246848
19950929,0.017117517277234023
19950930,0.017117517277234023
19951001,0.017117517277234023
19951002,0.01662017502881856
19951003,0.01656666249044409
19951004,0.015507076537865335
19951005,0.015400715798409823
19951006,0.014935017516915311
19951007,0.014935017516915311
19951008,0.014935017516915311
19951009,0.015757086899287176
19951010,0.01679944271664223
19951011,0.016480434045307593
19951012,0.015553915332554825
19951013,0.01443917854733582
19951014,0.01443917854733582
19951015,0.01443917854733582
19951016,0.014934618674338778
19951017,0.014809897215550937
19951018,0.014311640720433751
19951019,0.014361938128105291
19951020,0.014798109090607652
19951021,0.014798109090607652
19951022,0.014798109090607652
19951023,0.01551655221239298
19951024,0.015863498052938796
19951025,0.016221160866419924
19951026,0.01670516147512225
19951027,0.017391509936367344
19951028,0.017391509936367344
19951029,0.017391509936367344
19951030,0.0169914050141797
19951031,0.017646435837462813
19951101,0.017625441574384167
19951102,0.017159063736148145
19951103,0.01715575543884283
19951104,0.01715575543884283
19951105,0.01715575543884283
19951106,0.016987692157574265
19951107,0.016569992285340337
19951108,0.01591160410141336
19951109,0.015382031011281012
19951110,0.016047850556783733
19951111,0.016047850556783733
19951112,0.016047850556783733
19951113,0.015809234670916418
19951114,0.01587320471322783
19951115,0.015844051584717092
19951116,0.014613131360136818
19951117,0.014610391615912639
19951118,0.014610391615912639
19951119,0.014610391615912639
19951120,0.01341557609039244
19951121,0.012779618323459639
19951122,0.012403788732644262
19951123,0.013218455336607015
19951124,0.013418229662820642
19951125,0.013418229662820642
19951126,0.013418229662820642
19951127,0.013806557949845104
19951128,0.015142292977532402
19951129,0.01590106490132918
19951130,0.019238916419715184
19951201,0.018413236817683993
19951202,0.018413236817683993
19951203,0.018413236817683993
19951204,0.01878617066102714
19951205,0.01835251056985634
19951206,0.018092131874997575
19951207,0.01848627933022058
19951208,0.018641580461091857
19951209,0.018641580461091857
19951210,0.018641580461091857
19951211,0.019136839192396924
19951212,0.019240368703684264
19951213,0.019143213962695388
19951214,0.018758560322096288
19951215,0.019483542679652043
19951216,0.019483542679652043
19951217,0.019483542679652043
19951218,0.02021733998421071
19951219,0.019926025080923514
19951220,0.019437322133310037
19951221,0.019895586603293585
19951222,0.01958459814677456
19951223,0.01958459814677456
19951224,0.01958459814677456
19951225,0.01958459814677456
19951226,0.01958459814677456
19951227,0.01908978310614945
19951228,0.02010089906046776
19951229,0.016283701768750256
19951230,0.016283701768750256
19951231,0.016283701768750256
19960101,0.016283701768750256
19960102,0.016495868289730188
19960103,0.015602813784261487
19960104,0.015204557035584473
19960105,0.015367113104561863
19960106,0.015367113104561863
19960107,0.015367113104561863
19960108,0.015283237032525503
19960109,0.015153863098828225
19960110,0.01622271326530032
19960111,0.016998008698203466
19960112,0.01749354091164571
19960113,0.01749354091164571
19960114,0.01749354091164571
19960115,0.017817440429580327
19960116,0.018094187319877032
19960117,0.018271065106211487
19960118,0.017983582737293804
19960119,0.017635010836480086
19960120,0.017635010836480086
19960121,0.017635010836480086
19960122,0.016422270070065175
19960123,0.016720774063246086
19960124,0.01628110558681126
19960125,0.016992852858680935
19960126,0.017197191088888848
19960127,0.017197191088888848
19960128,0.017197191088888848
19960129,0.017313121614413104
19960130,0.01715253027886226
19960131,0.016570953618812206
19960201,0.016937427562648193
19960202,0.01688334264553743
19960203,0.01688334264553743
19960204,0.01688334264553743
19960205,0.01670660390198497
19960206,0.01655373048511643
19960207,0.01620725159155334
19960208,0.016368009614961265
19960209,0.016318606150078022
19960210,0.016318606150078022
19960211,0.016318606150078022
19960212,0.016176618638043663
19960213,0.015237452783917263
19960214,0.015396599797943507
19960215,0.01462295328564975
19960216,0.014785612662970854
19960217,0.014785612662970854
19960218,0.014785612662970854
19960219,0.015849436703704388
19960220,0.0160687850755649
19960221,0.015654476260042943
19960222,0.01478305098173471
19960223,0.014647709555347482
19960224,0.014647709555347482
19960225,0.014647709555347482
19960226,0.015070457948842906
19960227,0.014733560615020092
19960228,0.014696377921974198
19960229,0.013163416923451082
