Date,Hercules Capital Inc
20050831,0.018265447066496066
20050901,0.019318814867811784
20050902,0.019642197196674198
20050903,0.019642197196674198
20050904,0.019642197196674198
20050905,0.019642197196674198
20050906,0.020847111885576898
20050907,0.020981125482575705
20050908,0.021511006702290024
20050909,0.02397776373333733
20050910,0.02397776373333733
20050911,0.02397776373333733
20050912,0.02248084116351607
20050913,0.023576242484855545
20050914,0.024312118885416956
20050915,0.024271978057493836
20050916,0.022523280823364387
20050917,0.022523280823364387
20050918,0.022523280823364387
20050919,0.02391504707298758
20050920,0.02389775898314124
20050921,0.022192234230219494
20050922,0.023972473923661974
20050923,0.02410298148295535
20050924,0.02410298148295535
20050925,0.02410298148295535
20050926,0.026187960038791973
20050927,0.028305443062612755
20050928,0.029158459269858054
20050929,0.025260468490333324
20050930,0.014715427460906216
20051001,0.015007745294510383
20051002,0.015007745294510383
20051003,0.017631424551541864
20051004,0.01797331407211161
20051005,0.01721853947479742
20051006,0.016561725339656698
20051007,0.018986330335930546
20051008,0.018986330335930546
20051009,0.018986330335930546
20051010,0.026042585316363838
20051011,0.028666495196814797
20051012,0.03913597679313115
20051013,0.03763897692951475
20051014,0.039826364015625434
20051015,0.039826364015625434
20051016,0.039826364015625434
20051017,0.03980945568588579
20051018,0.03864032450942463
20051019,0.039296713984934534
20051020,0.03970415711947441
20051021,0.03972774515460759
20051022,0.03972774515460759
20051023,0.03972774515460759
20051024,0.03544802128950702
20051025,0.03135720474271287
20051026,0.038109569161096875
20051027,0.0354939534162189
20051028,0.029492168453076267
20051029,0.029492168453076267
20051030,0.029492168453076267
20051031,0.21924106808907912
20051101,0.2274979323410798
20051102,0.17791138531531514
20051103,0.18921226042000902
20051104,0.19821540255931808
20051105,0.19821540255931808
20051106,0.19821540255931808
20051107,0.19898022153864298
20051108,0.22880756992456963
20051109,0.2681376730595751
20051110,0.2715272724657851
20051111,0.2849928679541834
20051112,0.2849928679541834
20051113,0.2849928679541834
20051114,0.23883229036003217
20051115,0.22958566828170596
20051116,0.24433619618490368
