Date,American Tower Corp
20040329,9.219726423565017
20040330,8.582672381288743
20040331,8.744738819737035
20040401,7.452262560125328
20040402,7.046914769759841
20040403,7.046914769759841
20040404,7.046914769759841
20040405,6.934297941262319
20040406,6.543969682639422
20040407,6.573941667082414
20040408,6.102138990169309
20040409,6.102138990169309
20040410,6.102138990169309
20040411,6.102138990169309
20040412,6.26489587333109
20040413,6.509512211478428
20040414,6.7315691338262065
20040415,5.3729282084130086
20040416,5.259243619470707
20040417,5.259243619470707
20040418,5.259243619470707
20040419,4.939347665315673
20040420,4.871932313396753
20040421,4.5370617888495355
20040422,4.097828622464621
20040423,4.344535598663415
20040424,4.344535598663415
20040425,4.344535598663415
20040426,4.313143847645061
20040427,4.758169210431539
20040428,4.839159574406606
20040429,5.182572154820378
20040430,5.430524380529809
20040501,5.505673933783371
20040502,5.505673933783371
20040503,4.660886212669644
20040504,4.163037646629984
20040505,4.219765564538832
20040506,4.240289861705231
20040507,4.530597873540499
20040508,4.530597873540499
20040509,4.530597873540499
20040510,4.141760451199646
20040511,3.7800800412464386
20040512,3.842796391328976
20040513,3.7070589909695655
20040514,3.962486699628791
20040515,3.962486699628791
20040516,3.962486699628791
20040517,4.248439775702291
20040518,4.0173124144286705
20040519,4.067957756142643
20040520,3.9528115331037825
20040521,3.938043579692722
20040522,3.938043579692722
20040523,3.938043579692722
20040524,3.6670238061174634
20040525,3.247333825786235
20040526,3.3029741935252614
20040527,3.196017329984075
20040528,2.858757036657273
20040529,2.858757036657273
20040530,2.858757036657273
20040531,2.858757036657273
20040601,2.7257976175620504
20040602,2.729366878285749
20040603,2.9160092996613804
20040604,2.6626585899313104
20040605,2.6626585899313104
20040606,2.6626585899313104
20040607,2.3280251643884524
20040608,2.3770598991482172
20040609,2.5001389925190987
20040610,2.4657614721957137
20040611,2.4657614721957137
20040612,2.4657614721957137
20040613,2.4657614721957137
20040614,2.473264359441416
20040615,2.411458373751128
20040616,2.351252188651765
20040617,2.2369640355612863
20040618,2.128892124894606
20040619,2.128892124894606
20040620,2.128892124894606
20040621,2.2428356184322333
20040622,2.112009614211867
20040623,1.9505985558767978
20040624,1.937319209086815
20040625,2.120372007193001
20040626,2.120372007193001
20040627,2.120372007193001
20040628,2.2112126709705784
20040629,2.0745966489432974
20040630,1.8373806465315357
20040701,1.8128835324244217
20040702,1.7717272943473057
20040703,1.7717272943473057
20040704,1.7717272943473057
20040705,1.7717272943473057
20040706,1.8489976295170667
20040707,1.6889023135762398
20040708,1.7810179202487977
20040709,1.8182368099567143
20040710,1.8182368099567143
20040711,1.8182368099567143
20040712,1.8485068700629408
20040713,1.8412267630358943
20040714,1.8736719177855632
20040715,1.8709877037614702
20040716,1.8531897178965089
20040717,1.8531897178965089
20040718,1.8531897178965089
20040719,1.760250666073843
20040720,1.5825639537405507
20040721,1.8227075175569443
20040722,1.947730836600242
20040723,2.1109178674247393
20040724,2.1109178674247393
