Date,Bridge Capital Holdings
20030630,8.654497962188966
20030701,6.957783923517735
20030702,7.735031388193397
20030703,7.947718239056242
20030704,7.947718239056242
20030705,7.947718239056242
20030706,7.947718239056242
20030707,7.363195574795393
20030708,7.448732017819087
20030709,7.835372011168356
20030710,6.737423238339166
20030711,6.762249851944889
20030712,6.762249851944889
20030713,6.762249851944889
20030714,6.844660427253737
20030715,5.829295880534888
20030716,6.919657549419885
20030717,5.682462166998989
20030718,6.68375214064052
20030719,6.68375214064052
20030720,6.68375214064052
20030721,7.174916921076202
20030722,7.427191737267247
20030723,6.518790179345456
20030724,6.545503514005562
20030725,6.9506902044196295
20030726,6.9506902044196295
20030727,6.9506902044196295
20030728,7.383104178050827
20030729,6.434968230816479
20030730,6.412638425931513
20030731,6.466240874476748
20030801,6.617825434209621
20030802,6.617825434209621
20030803,6.617825434209621
20030804,6.716948987067791
20030805,7.102571684898551
20030806,7.084768972194892
20030807,6.789646971952159
20030808,6.679060770555866
20030809,6.679060770555866
20030810,6.679060770555866
20030811,6.767134085386753
20030812,6.635064216468722
20030813,6.737282152580013
20030814,6.613458308187599
20030815,6.576863862019731
20030816,6.576863862019731
20030817,6.576863862019731
20030818,6.540758059030471
20030819,6.371070572235264
20030820,6.1492323927656045
20030821,6.037846693917133
20030822,5.952921349177469
20030823,5.952921349177469
20030824,5.952921349177469
20030825,5.988744186315643
20030826,6.055354920694214
20030827,6.048625045212182
20030828,6.189790041078824
20030829,5.306523459113517
20030830,5.306523459113517
20030831,5.306523459113517
20030901,5.366427785849562
20030902,5.620666360711609
20030903,5.559789741798623
20030904,5.453851284576179
20030905,6.531974730872609
20030906,6.531974730872609
20030907,6.531974730872609
20030908,6.496257975122987
20030909,5.532514105569733
20030910,5.6865529809976465
20030911,5.851942087913064
20030912,6.51476616109864
20030913,6.51476616109864
20030914,6.51476616109864
20030915,5.647585247731413
20030916,5.73929707029549
20030917,5.821343791452858
20030918,5.770712959954534
20030919,5.937833043113458
20030920,5.937833043113458
20030921,5.937833043113458
20030922,7.209026343925179
20030923,7.900799008885284
20030924,7.612244410328251
20030925,7.531986055627762
20030926,6.689083499365621
20030927,6.689083499365621
20030928,6.689083499365621
20030929,8.886577073859398
20030930,8.97110281701137
20031001,7.2410023978617
20031002,7.974086903020675
20031003,8.73043541900038
20031004,8.73043541900038
20031005,8.73043541900038
20031006,8.987973203562554
20031007,9.183395772030089
20031008,9.118992662815268
20031009,7.903674696926916
20031010,7.015050432481156
20031011,7.015050432481156
20031012,7.015050432481156
20031013,7.369831204376642
20031014,6.497003731641406
20031015,7.612677801395458
20031016,6.988512500857965
20031017,5.678908107845636
20031018,5.678908107845636
20031019,5.678908107845636
20031020,5.576061821852656
20031021,6.502989025332221
20031022,6.244663200939414
20031023,5.868375866380421
20031024,5.728391531212057
20031025,5.728391531212057
20031026,5.728391531212057
20031027,5.557899473032788
20031028,5.668562772894232
20031029,4.795684836292607
20031030,4.396267755335212
20031031,5.165018369124727
20031101,5.2264987492524835
20031102,5.2264987492524835
20031103,5.257665719709924
20031104,5.236659198738227
20031105,5.166592516624387
20031106,5.302529357225393
20031107,5.50859254181091
20031108,5.50859254181091
20031109,5.50859254181091
20031110,5.552176568960957
20031111,5.643381159694158
20031112,5.843905693820868
20031113,5.608693340423608
20031114,6.066949624560543
20031115,6.066949624560543
20031116,6.066949624560543
20031117,6.377778138057549
20031118,8.9697709438682
20031119,8.11886847227905
20031120,9.278481550679945
20031121,8.245649605946209
20031122,8.245649605946209
20031123,8.245649605946209
20031124,8.416758022075676
20031125,8.181531458012241
20031126,7.400089263590798
20031127,7.400089263590798
20031128,7.556954742810403
20031129,7.556954742810403
20031130,7.556954742810403
20031201,7.30227089625585
20031202,6.986518620898695
20031203,6.960521075132972
20031204,7.042624320266334
20031205,7.447009140535837
20031206,7.447009140535837
20031207,7.447009140535837
20031208,7.285137473945567
20031209,8.384709746883914
20031210,7.558022767949835
20031211,7.339074708686708
20031212,7.506214202329823
20031213,7.506214202329823
20031214,7.506214202329823
20031215,7.5097029752203275
20031216,7.764313590562042
20031217,7.775303251118663
20031218,7.9418555815678955
20031219,8.475832207044228
20031220,8.475832207044228
20031221,8.475832207044228
20031222,8.209525575360752
20031223,8.174464420667276
20031224,8.149655278862996
20031225,8.149655278862996
20031226,8.712132949628801
20031227,8.712132949628801
20031228,8.712132949628801
20031229,9.03225998379755
20031230,9.959212411896022
20031231,7.791916519078495
20040101,7.8894905297828695
20040102,7.6563913242765915
20040103,7.6563913242765915
20040104,7.6563913242765915
20040105,8.804118765253023
20040106,8.202693387247779
20040107,7.814149633247106
20040108,7.8530508103598935
20040109,8.198076204771588
20040110,8.198076204771588
20040111,8.198076204771588
20040112,8.235063567833855
20040113,7.798352449366594
20040114,7.992843761571479
20040115,8.103964775937055
20040116,8.449499824559336
20040117,8.449499824559336
20040118,8.449499824559336
20040119,8.449499824559336
20040120,8.790198783124195
20040121,8.435180857608712
20040122,8.604129544131851
20040123,8.39097545004487
20040124,8.39097545004487
20040125,8.39097545004487
20040126,9.456343096115166
20040127,9.517865152224681
20040128,8.65605295644335
20040129,8.703934344733721
20040130,8.101891365185917
20040131,8.101891365185917
20040201,8.205950870462761
20040202,8.114919807128937
20040203,9.147016123313024
20040204,8.235984574908096
20040205,10.626508457181119
20040206,10.86062794221887
20040207,10.86062794221887
20040208,10.86062794221887
20040209,11.388824390000847
20040210,11.919154188212358
20040211,12.145110705164898
20040212,12.18982999958337
20040213,12.13375376983833
20040214,12.13375376983833
20040215,12.13375376983833
20040216,12.13375376983833
20040217,11.913986725343376
20040218,11.730074153519944
20040219,12.19237714522299
20040220,12.168070596097134
20040221,12.168070596097134
20040222,12.168070596097134
20040223,12.106765550275018
20040224,12.715921506224513
20040225,12.075987959439797
20040226,12.307380563920164
20040227,13.197155369925888
20040228,13.197155369925888
20040229,13.197155369925888
20040301,13.687016789356495
20040302,13.638575830795848
20040303,13.080041452869672
20040304,13.382122809760581
20040305,13.337043746023646
20040306,13.337043746023646
20040307,13.337043746023646
20040308,13.147083665543398
20040309,13.210055173342425
20040310,13.344510714899402
20040311,13.340328289599185
20040312,13.470184442646303
20040313,13.470184442646303
20040314,13.470184442646303
20040315,12.825775041687793
20040316,13.827993660479233
20040317,12.864701513106635
20040318,12.946877723515968
20040319,12.405266818611851
20040320,12.405266818611851
20040321,12.405266818611851
20040322,13.181161476734761
20040323,12.531714468662026
20040324,12.758079173640482
20040325,13.032858843133708
20040326,12.977618669621286
20040327,12.977618669621286
20040328,12.977618669621286
20040329,13.179633164098798
20040330,13.205398769001796
20040331,13.389225294285835
20040401,12.977747321152695
20040402,12.481212454308345
20040403,12.481212454308345
20040404,12.481212454308345
20040405,12.71195375450368
20040406,12.84817475173248
20040407,12.778410113708787
20040408,12.77755160869472
20040409,12.77755160869472
20040410,12.77755160869472
20040411,12.77755160869472
20040412,12.9581155124618
20040413,13.380259164127184
20040414,13.860051227859655
20040415,21.541670250301326
20040416,21.67806710382391
20040417,21.67806710382391
20040418,21.67806710382391
20040419,21.516554542219453
20040420,21.108338167063934
20040421,21.647686527801454
20040422,20.824050279058913
20040423,19.9858245566387
20040424,19.9858245566387
20040425,19.9858245566387
20040426,20.441167353845685
20040427,20.460204624996333
20040428,20.665705891226953
20040429,20.129598629539725
20040430,21.062342990504764
20040501,21.353107085030164
20040502,21.353107085030164
20040503,21.416272909245215
20040504,21.436022793045446
20040505,21.969320390908646
20040506,21.803095002122852
20040507,20.75136654061899
20040508,20.75136654061899
20040509,20.75136654061899
20040510,22.211329968683742
20040511,22.346261326041656
20040512,23.146928273610946
20040513,22.570397100437873
20040514,23.40447289247678
20040515,23.40447289247678
20040516,23.40447289247678
20040517,20.365739002461233
20040518,20.527234208898033
20040519,21.799284130707008
20040520,22.051716078353937
20040521,22.108606091963487
20040522,22.108606091963487
20040523,22.108606091963487
20040524,21.732676691389234
20040525,22.4777511720536
20040526,22.486613414087223
20040527,22.960574781896756
20040528,22.45774345777082
20040529,22.45774345777082
20040530,22.45774345777082
20040531,22.45774345777082
20040601,22.561427014234653
20040602,22.269702649577255
20040603,23.52406365228527
20040604,21.480849016133394
20040605,21.480849016133394
20040606,21.480849016133394
20040607,21.774615656932333
20040608,22.014054551083927
20040609,22.034769649572272
20040610,21.960882736711344
20040611,21.960882736711344
20040612,21.960882736711344
20040613,21.960882736711344
20040614,22.24989182609614
20040615,22.375455742767823
20040616,23.791940769178638
20040617,23.75385893240882
20040618,23.825576970825537
20040619,23.825576970825537
20040620,23.825576970825537
20040621,23.793019004723725
20040622,24.36462935988551
20040623,24.386430034226496
20040624,26.04991812328388
20040625,24.641064693774638
20040626,24.641064693774638
20040627,24.641064693774638
20040628,27.91619237303387
20040629,25.12190778389719
20040630,25.193820611533898
20040701,24.257449996384008
20040702,25.295588071816187
20040703,25.295588071816187
20040704,25.295588071816187
20040705,25.295588071816187
20040706,24.095237102623848
20040707,25.649618078227945
20040708,25.1829539741219
20040709,25.61101319296855
20040710,25.61101319296855
20040711,25.61101319296855
20040712,26.001475363564417
20040713,26.107452920923947
20040714,26.07129261512051
20040715,28.65294232130081
20040716,28.681306853000613
20040717,28.681306853000613
20040718,28.681306853000613
20040719,28.66322987203907
20040720,27.41348300188715
20040721,25.831487338228513
20040722,24.01220310354702
20040723,24.050398312721878
20040724,24.050398312721878
20040725,24.050398312721878
20040726,20.468556239498305
20040727,20.619289857933225
20040728,20.117129891922332
20040729,20.304311317999435
20040730,18.58441728278156
20040731,18.58441728278156
20040801,18.860229290368085
20040802,19.774882078327117
20040803,19.623243901133264
20040804,19.579235557463385
20040805,19.778067519611465
20040806,19.398552719983524
20040807,19.398552719983524
20040808,19.398552719983524
20040809,18.191401882996832
20040810,19.734091647798138
20040811,18.051654362090815
20040812,19.326649680771915
20040813,21.153264537549155
20040814,21.153264537549155
20040815,21.153264537549155
20040816,19.060555815558242
20040817,18.431166984383704
20040818,19.075932136707685
20040819,18.944465655375442
20040820,19.089067111664846
20040821,19.089067111664846
20040822,19.089067111664846
20040823,21.541856271009692
20040824,21.528264826386035
20040825,18.802256340748773
20040826,19.356209880088002
20040827,18.901641159617483
20040828,18.901641159617483
20040829,18.901641159617483
20040830,18.28291884924055
20040831,18.37401250562019
20040901,18.58515688211118
20040902,17.322486098356958
20040903,16.13585921527465
20040904,16.13585921527465
20040905,16.13585921527465
20040906,16.13585921527465
20040907,20.800661503664774
20040908,18.397400582031654
20040909,15.9820704594642
20040910,16.96259967448996
20040911,16.96259967448996
20040912,16.96259967448996
20040913,15.850258924424221
20040914,16.89043773376902
20040915,16.13811995657534
20040916,15.276680413092686
20040917,16.30515244864499
20040918,16.30515244864499
20040919,16.30515244864499
20040920,16.132456252712014
20040921,16.25890941500603
20040922,16.103321498933404
20040923,17.30331488539906
20040924,17.405389082834574
20040925,17.405389082834574
20040926,17.405389082834574
20040927,17.298409592922233
20040928,17.553523394373602
20040929,17.52666643924153
20040930,16.363638180107365
20041001,16.43409255300875
20041002,16.43409255300875
20041003,16.43409255300875
20041004,15.960871253235386
20041005,15.96302080356829
20041006,15.81661911587197
20041007,14.114978576198842
20041008,14.496898512007492
20041009,14.496898512007492
20041010,14.496898512007492
20041011,12.54952743723141
20041012,12.912767319093565
20041013,13.80193365844139
20041014,12.976611848068883
20041015,11.134096965621756
20041016,11.134096965621756
20041017,11.134096965621756
20041018,10.993148068677344
20041019,11.5534565350761
20041020,14.196613835524726
20041021,17.300734560272396
20041022,15.798411297152734
20041023,15.798411297152734
20041024,15.798411297152734
20041025,14.180980902958709
20041026,14.323332513203226
20041027,15.333429831395792
20041028,15.336043141017495
20041029,15.01920407461701
20041030,15.01920407461701
20041031,15.01920407461701
20041101,14.68059724268214
20041102,14.449508029299055
20041103,14.257654090312913
20041104,14.152970033648872
20041105,10.682581040278635
20041106,10.682581040278635
20041107,10.682581040278635
20041108,10.419659975282409
20041109,10.231103819491176
20041110,8.691872539493431
20041111,9.379546498780664
20041112,9.260192657671311
20041113,9.260192657671311
20041114,9.260192657671311
20041115,9.45291570188624
20041116,9.438184461694648
20041117,9.164751385999848
20041118,9.221767484178212
20041119,9.240070642397681
20041120,9.240070642397681
20041121,9.240070642397681
20041122,9.783375592262262
20041123,9.445503997261683
20041124,9.375067588208672
20041125,9.375067588208672
20041126,9.341523366257611
20041127,9.341523366257611
20041128,9.341523366257611
20041129,10.485406542451804
20041130,9.610208662868772
20041201,9.536053764778986
20041202,9.551117576003518
20041203,8.47490612494095
20041204,8.47490612494095
20041205,8.47490612494095
20041206,7.7113286353304735
20041207,9.247037258995311
20041208,9.74385963936244
20041209,8.241819835167457
20041210,10.057619740675591
20041211,10.057619740675591
20041212,10.057619740675591
20041213,9.65141103394705
20041214,9.68569273679925
20041215,10.209934347808698
20041216,10.844685078828256
20041217,8.969891315198659
20041218,8.969891315198659
20041219,8.969891315198659
20041220,8.892969070556468
20041221,10.088821911080046
20041222,10.129489494332915
20041223,10.136270293145232
20041224,10.136270293145232
20041225,10.136270293145232
20041226,10.136270293145232
20041227,10.089059102225304
20041228,10.14907002630601
20041229,10.074244160845243
20041230,10.087443748065402
20041231,10.764858932260294
20050101,10.944022343028255
20050102,10.944022343028255
20050103,10.636544894300991
20050104,11.815782328325225
20050105,11.672922744934455
20050106,12.517979379677154
20050107,11.90472759458872
20050108,11.90472759458872
20050109,11.90472759458872
20050110,14.871670188852486
20050111,13.571807913360441
20050112,12.916268585423435
20050113,14.301599717002416
20050114,14.281196610059578
20050115,14.281196610059578
20050116,14.281196610059578
20050117,14.281196610059578
20050118,14.367114111104327
20050119,11.43935487048405
20050120,11.358929141446366
20050121,11.219199994059723
20050122,11.219199994059723
20050123,11.219199994059723
20050124,10.877536298870362
20050125,11.306683852063335
20050126,11.258969375490237
20050127,11.293074435880415
20050128,11.389352371897195
20050129,11.389352371897195
20050130,11.389352371897195
20050131,12.027339108325227
20050201,12.288376294709906
20050202,12.288657364954206
20050203,15.429926623212117
20050204,14.97445101907251
20050205,14.97445101907251
20050206,14.97445101907251
20050207,14.20420488687389
20050208,14.19425131384562
20050209,13.266296688272352
20050210,13.276090569063328
20050211,13.33964816604246
20050212,13.33964816604246
20050213,13.33964816604246
20050214,12.936352597105003
20050215,12.82551830920567
20050216,11.829002004110569
20050217,11.689043558736804
20050218,12.889123670088484
20050219,12.889123670088484
20050220,12.889123670088484
20050221,12.889123670088484
20050222,12.795613673942464
20050223,11.97356044456336
20050224,12.048445934754177
20050225,12.083745377620508
20050226,12.083745377620508
20050227,12.083745377620508
20050228,11.059405359247517
20050301,12.165489264606114
20050302,13.020909832333942
20050303,14.142254180203851
20050304,13.984392789764808
20050305,13.984392789764808
20050306,13.984392789764808
20050307,15.046651744804427
20050308,15.293300717933255
20050309,14.108710005834588
20050310,14.296097884556765
20050311,15.239323793441095
20050312,15.239323793441095
20050313,15.239323793441095
20050314,14.638209300305281
20050315,14.971192119033692
20050316,14.811280905137947
20050317,14.288834533764259
20050318,14.646572317296155
20050319,14.646572317296155
20050320,14.646572317296155
20050321,14.388913160256761
20050322,15.450391296736361
20050323,15.02484110792685
20050324,14.795072833436786
20050325,14.795072833436786
20050326,14.795072833436786
20050327,14.795072833436786
20050328,14.803005161323105
20050329,14.576583010043652
20050330,15.26315488152795
20050331,14.410326194373773
20050401,14.275873243400678
20050402,14.275873243400678
20050403,14.275873243400678
20050404,14.879175416823692
20050405,14.292891537594747
20050406,14.341161237944823
20050407,14.464825577019067
20050408,14.365660082599943
20050409,14.365660082599943
20050410,14.365660082599943
20050411,13.492326057754044
20050412,13.445032728521573
20050413,13.99365678904331
20050414,13.239774733582527
20050415,14.038161661585926
20050416,14.038161661585926
20050417,14.038161661585926
20050418,14.000988257510928
20050419,14.260785002689035
20050420,14.743205619193697
20050421,17.646563384714238
20050422,15.439882554189056
20050423,15.439882554189056
20050424,15.439882554189056
20050425,15.503041235001064
20050426,15.85630069083207
20050427,15.31708729274775
20050428,15.31457135337481
20050429,12.755511797481697
20050430,12.755511797481697
20050501,12.986624490991646
20050502,13.624915558489393
20050503,13.6813098487833
20050504,13.753475029617471
20050505,13.390007134003959
20050506,14.008398584944585
20050507,14.008398584944585
20050508,14.008398584944585
20050509,14.390776886289421
20050510,14.14764276321882
20050511,13.380468533383269
20050512,14.010102571258175
20050513,13.564259369451714
20050514,13.564259369451714
20050515,13.564259369451714
20050516,14.186227656347537
20050517,14.138372554599991
20050518,14.701694376316073
20050519,14.472710119986681
20050520,14.33654889495883
20050521,14.33654889495883
20050522,14.33654889495883
20050523,15.098719282504309
20050524,15.216363901021094
20050525,15.003819515061389
20050526,14.705264867706756
20050527,14.664057784385331
20050528,14.664057784385331
20050529,14.664057784385331
20050530,14.664057784385331
20050531,14.600483426169761
20050601,14.575804016346373
20050602,13.870867329208
20050603,15.344773632531108
20050604,15.344773632531108
20050605,15.344773632531108
20050606,14.554297501316116
20050607,13.425166194550508
20050608,13.128218565422946
20050609,13.408514458037793
20050610,12.837631652971746
20050611,12.837631652971746
20050612,12.837631652971746
20050613,13.419432150264957
20050614,13.299636141626143
20050615,13.404645969082901
20050616,12.6962843093329
20050617,11.374477816359303
20050618,11.374477816359303
20050619,11.374477816359303
20050620,11.323343600555337
20050621,12.612470211422579
20050622,11.76749189150351
20050623,11.49056373710529
20050624,11.928860086113033
20050625,11.928860086113033
20050626,11.928860086113033
20050627,11.967041630572677
20050628,12.060867833387288
20050629,11.287046858463128
20050630,11.180669245942596
20050701,11.490229616667136
20050702,11.490229616667136
20050703,11.490229616667136
20050704,11.490229616667136
20050705,11.423742132250522
20050706,11.733166006291517
20050707,11.734683319936329
20050708,11.501803297870024
20050709,11.501803297870024
20050710,11.501803297870024
20050711,11.529749890982197
20050712,12.054312835320099
20050713,12.056453543199563
20050714,11.558101603596064
20050715,12.16833113174812
20050716,12.16833113174812
20050717,12.16833113174812
20050718,11.745388672418274
20050719,11.806513936822308
20050720,11.450851312196509
20050721,15.064610633309645
20050722,14.331548064271058
20050723,14.331548064271058
20050724,14.331548064271058
20050725,14.177386553133
20050726,12.965750309571337
20050727,11.087913447631282
20050728,10.587423700919892
20050729,10.510831166223214
20050730,10.510831166223214
20050731,10.510831166223214
20050801,11.450245334430937
20050802,11.080491673921282
20050803,10.684050109684437
20050804,10.80495331525804
20050805,9.593229831144946
20050806,9.593229831144946
20050807,9.593229831144946
20050808,9.818117164240487
20050809,9.360605104027249
20050810,8.892956687042973
20050811,9.634402200332945
20050812,11.033270064539089
20050813,11.033270064539089
20050814,11.033270064539089
20050815,11.198767448622148
20050816,10.890481529806285
20050817,10.914141460551837
20050818,10.39618004214554
20050819,9.685962873779644
20050820,9.685962873779644
20050821,9.685962873779644
20050822,10.091161385897855
20050823,10.316953358517042
20050824,10.47586779046054
20050825,10.763539965447633
20050826,10.728620415556705
20050827,10.728620415556705
20050828,10.728620415556705
20050829,10.445409443107252
20050830,11.059176547930553
20050831,10.614834024034105
20050901,11.019095133564011
20050902,11.689360499026698
20050903,11.689360499026698
20050904,11.689360499026698
20050905,11.689360499026698
20050906,12.757975385766333
20050907,12.76050610475264
20050908,12.665915110985383
20050909,12.518955192183475
20050910,12.518955192183475
20050911,12.518955192183475
20050912,12.18748158356315
20050913,11.834126478351218
20050914,11.136762777317106
20050915,11.771000911798389
20050916,11.236929811588388
20050917,11.236929811588388
20050918,11.236929811588388
20050919,12.148626284784982
20050920,12.033504822519337
20050921,11.683636815797707
20050922,11.443578761357804
20050923,12.172806761950437
20050924,12.172806761950437
20050925,12.172806761950437
20050926,12.101728183109032
20050927,12.016633243060005
20050928,12.174536659659296
20050929,12.12364936030123
20050930,10.791627099743113
20051001,11.007136689700522
20051002,11.007136689700522
20051003,10.918046182953457
20051004,11.871513245014693
20051005,12.127887470016937
20051006,13.408938531055098
20051007,13.6757806962017
20051008,13.6757806962017
20051009,13.6757806962017
20051010,13.19565554567971
20051011,12.923565258576392
20051012,13.401768264416345
20051013,13.896869488151445
20051014,14.344007069855676
20051015,14.344007069855676
20051016,14.344007069855676
20051017,13.458182975690441
20051018,15.57278137486166
20051019,13.95018725832096
20051020,14.267760071910441
20051021,14.505761404444838
20051022,14.505761404444838
20051023,14.505761404444838
20051024,13.617435206428842
20051025,14.57795752990759
20051026,15.27014284506506
20051027,15.031255424435583
20051028,14.449936281550922
20051029,14.449936281550922
20051030,14.449936281550922
20051031,11.72916864909336
20051101,13.235855919920635
20051102,13.85056796534901
20051103,13.981999176235242
20051104,13.55677516084109
20051105,13.55677516084109
20051106,13.55677516084109
20051107,13.250116821537906
20051108,13.511599107867236
20051109,13.68227432590364
20051110,13.69173820886888
20051111,13.520483443083966
20051112,13.520483443083966
20051113,13.520483443083966
20051114,13.863264596504592
20051115,13.404768834600429
20051116,13.972723370921175
20051117,13.849139377606338
20051118,13.536393289782554
20051119,13.536393289782554
20051120,13.536393289782554
20051121,13.385763959084708
20051122,13.911294686530526
20051123,14.12482937802122
20051124,14.12482937802122
20051125,13.778992345886461
20051126,13.778992345886461
20051127,13.778992345886461
20051128,14.205590724410513
20051129,14.471409832320536
20051130,12.38331258237393
20051201,11.627512410875694
20051202,9.9455245922556
20051203,9.9455245922556
20051204,9.9455245922556
20051205,10.789829579157436
20051206,10.182550055705427
20051207,10.088976338142576
20051208,9.958514172292622
20051209,9.949271963002957
20051210,9.949271963002957
20051211,9.949271963002957
20051212,10.02881319607068
20051213,9.717195917889157
20051214,8.857841571315129
20051215,8.649715013099012
20051216,8.586521257251349
20051217,8.586521257251349
20051218,8.586521257251349
20051219,9.284792590801654
20051220,9.110765707983305
20051221,9.150425392812668
